
2025/03/28 (20:38:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (13:10:56) | ===> btop++ v.1.4.0
2025/03/29 (13:10:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (13:24:51) | ===> btop++ v.1.4.0
2025/03/29 (13:24:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (13:26:22) | ===> btop++ v.1.4.0
2025/03/29 (13:26:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (15:28:47) | ===> btop++ v.1.4.0
2025/03/29 (15:28:47) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/29 (15:29:30) | WARNING: Failed to join _runner thread on exit!

2025/03/29 (15:33:25) | ===> btop++ v.1.4.0
2025/03/29 (15:33:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (15:33:32) | ===> btop++ v.1.4.0
2025/03/29 (15:33:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (12:24:53) | ===> btop++ v.1.4.0
2025/03/30 (12:24:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (15:01:09) | ===> btop++ v.1.4.0
2025/03/30 (15:01:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (15:24:22) | ===> btop++ v.1.4.0
2025/04/01 (15:24:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (17:43:36) | ===> btop++ v.1.4.0
2025/04/01 (17:43:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (20:49:08) | ===> btop++ v.1.4.0
2025/04/01 (20:49:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (22:16:24) | ===> btop++ v.1.4.0
2025/04/01 (22:16:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (20:05:22) | ===> btop++ v.1.4.0
2025/04/02 (20:05:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (16:41:20) | ===> btop++ v.1.4.0
2025/04/03 (16:41:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (20:18:48) | ===> btop++ v.1.4.0
2025/04/03 (20:18:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (16:57:59) | ===> btop++ v.1.4.0
2025/04/04 (16:57:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (16:59:43) | ===> btop++ v.1.4.0
2025/04/04 (16:59:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (17:13:08) | ===> btop++ v.1.4.0
2025/04/04 (17:13:08) | WARNING: Invalid position value in config value presets!
2025/04/04 (17:13:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (17:13:22) | ===> btop++ v.1.4.0
2025/04/04 (17:13:22) | WARNING: Invalid position value in config value presets!
2025/04/04 (17:13:22) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/04 (17:13:27) | WARNING: Failed to join _runner thread on exit!

2025/04/04 (17:13:39) | ===> btop++ v.1.4.0
2025/04/04 (17:13:39) | WARNING: Invalid position value in config value presets!
2025/04/04 (17:13:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (17:21:10) | ===> btop++ v.1.4.0
2025/04/04 (17:21:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (17:28:09) | ===> btop++ v.1.4.0
2025/04/04 (17:28:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (17:30:28) | ===> btop++ v.1.4.0
2025/04/04 (17:30:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (17:31:21) | ===> btop++ v.1.4.0
2025/04/04 (17:31:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (17:31:28) | ===> btop++ v.1.4.0
2025/04/04 (17:31:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (17:37:07) | ===> btop++ v.1.4.0
2025/04/04 (17:37:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (19:06:01) | ===> btop++ v.1.4.0
2025/04/04 (19:06:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (22:57:20) | ===> btop++ v.1.4.0
2025/04/04 (22:57:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (12:40:23) | ===> btop++ v.1.4.0
2025/04/05 (12:40:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (12:41:20) | ===> btop++ v.1.4.0
2025/04/05 (12:41:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (12:42:09) | ===> btop++ v.1.4.0
2025/04/05 (12:42:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (18:10:15) | ===> btop++ v.1.4.0
2025/04/05 (18:10:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (12:43:57) | ===> btop++ v.1.4.0
2025/04/06 (12:43:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (12:46:36) | ===> btop++ v.1.4.0
2025/04/06 (12:46:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (12:46:38) | ===> btop++ v.1.4.0
2025/04/06 (12:46:38) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/06 (12:46:50) | WARNING: Failed to join _runner thread on exit!

2025/04/06 (18:26:31) | ===> btop++ v.1.4.0
2025/04/06 (18:26:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (23:31:30) | ===> btop++ v.1.4.0
2025/04/07 (23:31:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (18:39:28) | ===> btop++ v.1.4.0
2025/04/08 (18:39:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (19:44:02) | ===> btop++ v.1.4.0
2025/04/20 (19:44:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/22 (18:49:35) | ===> btop++ v.1.4.0
2025/04/22 (18:49:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/22 (18:49:57) | WARNING: Failed to join _runner thread on exit!

2025/04/23 (17:19:00) | ===> btop++ v.1.4.0
2025/04/23 (17:19:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (17:19:09) | ===> btop++ v.1.4.0
2025/04/23 (17:19:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (17:55:02) | ===> btop++ v.1.4.0
2025/04/23 (17:55:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (19:40:12) | ===> btop++ v.1.4.0
2025/04/23 (19:40:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (19:40:26) | ===> btop++ v.1.4.0
2025/04/23 (19:40:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/28 (19:10:39) | ===> btop++ v.1.4.0
2025/04/28 (19:10:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/28 (19:11:59) | WARNING: Failed to join _runner thread on exit!

2025/04/28 (22:43:29) | ===> btop++ v.1.4.0
2025/04/28 (22:43:29) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/28 (22:43:53) | WARNING: Failed to join _runner thread on exit!

2025/04/29 (19:41:48) | ===> btop++ v.1.4.0
2025/04/29 (19:41:48) | WARNING: Intel GPU: Failed to initialize PMU
